
137,8.2,Cool Hand Luke (1967),"84,470",Stuart Rosenberg
138,8.1,It Happened One Night (1934),"43,205",Frank Capra
139,8.1,Diabolique (1955),"26,777",Henri-Georges Clouzot
140,8.1,No Country for Old Men (2007),"397,628",Joel Coen & Ethan Coen
141,8.1,The Sixth Sense (1999),"475,862",M. Night Shyamalan
142,8.1,"Lock, Stock and Two Smoking Barrels (1998)","277,636",Guy Ritchie
143,8.1,Jaws (1975),"267,827",Steven Spielberg
144,8.1,Good Will Hunting (1997),"366,430",Gus Van Sant
145,8.1,Strangers on a Train (1951),"64,124",Alfred Hitchcock
146,8.1,Casino (1995),"216,669",Martin Scorsese
147,8.1,Judgment at Nuremberg (1961),"25,742",Stanley Kramer
148,8.1,The Grapes of Wrath (1940),"42,227",John Ford
149,8.1,The Wizard of Oz (1939),"192,425",Norman Taurog
150,8.1,Platoon (1986),"202,044",Oliver Stone
151,8.1,Sin City (2005),"459,794",Quentin Tarantino
152,8.1,Butch Cassidy and the Sundance Kid (1969),"102,995",George Roy Hill
153,8.1,Kill Bill: Vol. 1 (2003),"470,244",Quentin Tarantino
154,8.1,The Thing (1982),"175,041",John Carpenter
155,8.1,Trainspotting (1996),"312,510",Danny Boyle
156,8.1,Gone with the Wind (1939),"148,410",Victor Fleming
157,8.1,High Noon (1952),"56,791",Fred Zinnemann
158,8.1,Annie Hall (1977),"127,072",Woody Allen
159,8.1,Hotel Rwanda (2004),"180,270",Terry George
160,8.1,The Hunt (2012),"39,033",Thomas Vinterberg
161,8.1,Warrior (2011),"190,877",Gavin O'Connor
162,8.1,The Secret in Their Eyes (2009),"73,505",Juan Jose Campanella
163,8.1,Finding Nemo (2003),"406,678",Lee Unkrich
164,8.1,My Neighbor Totoro (1988),"88,095",Hayao Miyazaki
165,8.1,V for Vendetta (2005),"507,750",James McTeigue
166,8.1,Notorious (1946),"52,582",Alfred Hitchcock
167,8.1,Dial M for Murder (1954),"65,745",Alfred Hitchcock
168,8.1,The Avengers (2012),"568,037",Joss Whedon
169,8.1,How to Train Your Dragon (2010),"249,971",Dean DeBlois
170,8.1,Life of Brian (1979),"183,277",Terry Jones
171,8.1,Into the Wild (2007),"263,344",Sean Penn
172,8.1,The Best Years of Our Lives (1946),"27,843",William Wyler
173,8.1,Network (1976),"69,929",Sidney Lumet
174,8.1,The Terminator (1984),"378,300",James Cameron
175,8.1,Million Dollar Baby (2004),"303,571",Clint Eastwood
176,8.1,There Will Be Blood (2007),"252,241",Paul Thomas Anderson
177,8.1,Ben-Hur (1959),"106,455",William Wyler
178,8.1,The Night of the Hunter (1955),"44,437",Charles Laughton
